OBJECTID;ID;NOM_PARC;ADRESS_SSC;ADRESS_GEO;ACCES_VL;Arrdt;DELEG;SITE_DELEG;TEL;H_PARC_CM;H2_PARC_CM;TYPE_PARC;HORAIRE_NA;ASC_SURF;ACCES_MOTO;ACCES_VELO;V_ELEC_CH;AUTOPART;DATE_TA;AB_1M_E;AB_1A_E;TARIF_PR;PR_1A_MINE;PR_1A_MAXE;TARIF_RES;TF_RES_1AE;DATE_TH;TF_15MN_E;TF_30MN_E;TF_1H_E;TF_1H30_E;TF_2H_E;TF_3H_E;TF_4H_E;TF_7H_E;TF_8H_E;TF_9H_E;TF_10H_E;TF_11H_E;TF_12H_E;TF_24H_E;NB_PL_PMR;ABPMR_1M_E;ABPMR_1T_E;ABPMR_1A_E;MIS_A_JOUR;ABVE_1M_E;ABVE_1T_E;ABVE_1A_E;NB_PL_MOTO;TMOTO_1EHE;ABMOTO_1ME;ABMOTO_1TE;ABMOTO_1AE;TVELO_1M_E;POINT_X;POINT_Y;ZONES_RES;TF_15MN_MO;TF_30MN_MO;TF_24H_MOT;TF_PR_MOTO;PR_1A_MINM;PR_1A_MAXM;TF_RES_MO;TF_RES_1AM;AB_1A_PATT;PARC_AMOD;geo_shape;geo_point_2d
3;150;BORDS DE SEINE FREYSSINET (RIVE GAUCHE);21 RUE ABEL GANCE;21 RUE ABEL GANCE;E1;13;INDIGO;WWW.PARKINDIGO.FR;01 53 60 16 80;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;OUI;NON;42614;235;2350;OUI;1410;1880;NON;ND;42614;0,9;1,8;3,6;5,4;7,2;10,8;14,4;25,2;28,8;32,4;32,4;32,4;32,4;32,4;7;118;329;1175;2018-02-01;118;329;1175;16;1,2;82;230;823;10;653992.551;6859647.598;5F 12E 12F 13J 13K 13L 13M 13N 13P 13R 13S;0,3;0,6;10,8;OUI;493,5;658;NON;ND;2938;NON;"{""type"": ""Point"", ""coordinates"": [2.373221588101417, 48.83523833495664]}";48.835238335, 2.3732215881
1;23;ANVERS;41 BOULEVARD DE ROCHECHOUART;41 BOULEVARD DE ROCHECHOUART;E1;9;SAEMES;WWW.SAEMES.FR;01 42 81 05 11;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;OUI;OUI;42736;224;2240;OUI;1247;1782;NON;ND;42736;0,95;1,85;3,65;5,5;7,3;10,95;14,6;25,55;29,2;32,85;32,85;32,85;32,85;32,85;11;112;319,2;1120;2018-02-01;112;319,2;1120;31;1,3;78,4;223,4;784;10;651920.8886;6864941.362;9E 9F 9G 10G 18F 18G 18H;0,35;0,7;11,7;OUI;436,59;623,7;NON;ND;2800;NON;"{""type"": ""Point"", ""coordinates"": [2.344400979214491, 48.88269330904313]}";48.882693309, 2.34440097921
20;166;FOCH;4, 37 ET 47 AVENUE FOCH;47 AVENUE FOCH;E3;16;SPIE AUTOCITE;WWW.AUTOCITE.FR;01 45 00 44 78;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;OUI;NON;42370;295;2950;NON;ND;ND;OUI;2065;43101;2,2;3,3;4,4;6,6;8,8;13,2;17,6;30,8;35,2;39,6;44;44;44;44;8;147,5;413;1475;2018-02-01;147,5;413;1475;18;1,5;103,25;289,1;1032,5;10;647413.6823;6863787.569;TOUT PARIS;0,75;1,15;15,4;NON;ND;ND;OUI;722,75;3687,5;NON;"{""type"": ""Point"", ""coordinates"": [2.283087511144891, 48.871965318110014]}";48.8719653181, 2.28308751114
6;154;CARDINET;168 RUE CARDINET;168 RUE CARDINET;E1;17;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;210;;ABONNES;POUR ABONNES;OUI;OUI;OUI;OUI;NON;43101;214,2;2184,8;OUI;1310,2;1747;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;12;107;305;1092;2018-02-01;107;305;1092;16;ND;85,6;244;873;18,5;649924.9066;6865769.338;17K 17P 17R 17S 17T;ND;ND;ND;NON;ND;ND;NON;ND;2731;NON;"{""type"": ""Point"", ""coordinates"": [2.317087778877405, 48.88998686506249]}";48.8899868651, 2.31708777888
17;68;FIRMIN GEMIER;5 RUE FIRMIN GEMIER;5 RUE FIRMIN GEMIER;E1;18;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;195;;ABONNES;POUR ABONNES;NON;OUI;NON;NON;NON;42917;ND;ND;NON;ND;ND;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0;ND;ND;ND;2018-02-01;ND;ND;ND;7;ND;54;150;586;ND;650879.9809;6866288.428;ND;ND;ND;ND;NON;ND;ND;NON;ND;1465;NON;"{""type"": ""Point"", ""coordinates"": [2.330052162620531, 48.89472840582793]}";48.8947284058, 2.33005216262
38;72;MAIRIE DU 17 EME;20 RUE DES BATIGNOLLES;20 RUE DES BATIGNOLLES;E1;17;SAEMES;WWW.SAEMES.FR;01 53 04 30 10;180;;VISITEURS ET ABONNES;08h / 22h45;OUI, MAIS TRAVAUX D'ACCESSIBILITE AUX HANDICAPES A REALISER;OUI;OUI;OUI;OUI;42917;225;2250;NON;ND;ND;NON;ND;42186;1;2;3,9;5,9;7,8;11,7;15,6;27,3;31,2;35,1;35,1;35,1;35,1;35,1;5;ND;ND;ND;2018-02-01;ND;ND;ND;37;1,4;90;243;900;15;650251.6766;6865168.888;ND;0,4;0,7;12,3;NON;ND;ND;OUI;675;2810;NON;"{""type"": ""Point"", ""coordinates"": [2.321614320614963, 48.88461257470296]}";48.8846125747, 2.32161432061
43;140;MARCEAU ETOILE;75 BIS AVENUE MARCEAU;75 BIS AVENUE MARCEAU;E1;16;Q PARK;WWW.Q-PARK.FR;01 40 70 10 10;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;NON;OUI;NON;43101;315;3045;NON;ND;ND;OUI;2100;43101;1,3;2,6;5,2;7,8;10,4;15,6;20,8;36,4;41,6;41,6;41,6;41,6;41,6;41,6;10;ND;ND;ND;2018-02-01;125;ND;1500;10;ND;145;410;1150;ND;648415.6377;6863722.081;8E 8F 8G 8H 8J 16E 16F 16G 16H 16I 16J 17E;ND;ND;ND;NON;ND;ND;NON;ND;4561;NON;"{""type"": ""Point"", ""coordinates"": [2.296754452263768, 48.871457432883716]}";48.8714574329, 2.29675445226
40;97;MANDEL 1 (SURFACE);2 AVENUE GEORGES MANDEL;2 AVENUE GEORGES MANDEL;E1;16;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;200;;ABONNES;POUR ABONNES;ACCESSIBLE DE PLAIN PIED;NON;OUI;NON;NON;43101;135;1350;OUI;810;1080;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;3;67,5;192,5;675;2018-02-01;67,5;192,5;675;0;ND;ND;ND;ND;ND;647604.8023;6862821.675;16F 16G 16H 16I 16J 16K 16L 16M 16N 16P;ND;ND;ND;NON;ND;ND;NON;ND;ND;NON;"{""type"": ""Point"", ""coordinates"": [2.285812016954334, 48.86329485145157]}";48.8632948515, 2.28581201695
44;156;MARIGNY CHATEAU;10 COURS MARIGNY;10 COURS MARIGNY;E1;12;INDIGO;WWW.PARKINDIGO.FR;01 43 74 96 43;190;;VISITEURS ET ABONNES;24h / 24;PREVU;OUI;OUI;OUI;NON;43101;105;1050;NON;ND;ND;NON;ND;43101;0,4;0,8;1,65;2,45;3,3;4,95;6,6;11,55;13,2;14,85;14,85;14,85;14,85;14,85;12;52,5;141,5;525;2018-02-01;52,5;141,5;525;57;0,55;35;94,5;350;10;658875.9515;6860729.828;ND;0,1;0,25;4,95;NON;ND;ND;NON;ND;1310;NON;"{""type"": ""Point"", ""coordinates"": [2.439643170562296, 48.84530105257913]}";48.8453010526, 2.43964317056
49;170;MONTPARNASSE;120 ET 141 BOULEVARD MONTPARNASSE;141 BOULEVARD DU MONTPARNASSE;E2;6;INDIGO;WWW.PARKINDIGO.FR;01 45 48 43 30;190;;VISITEURS ET ABONNES;24h / 24;NON;OUI;OUI;NON;NON;42583;209;2174;NON;ND;ND;NON;ND;42614;1,1;2,2;4,4;6,6;8,8;13,2;17,6;30,8;35,2;39,6;39,6;39,6;39,6;39,6;0;ND;ND;ND;2018-02-01;ND;ND;1087;33;ND;79;225;822;ND;651032.7565;6860328.379;ND;ND;ND;ND;NON;ND;ND;NON;ND;2714;NON;"{""type"": ""Point"", ""coordinates"": [2.332822588799688, 48.8411425363487]}";48.8411425363, 2.3328225888
94;25;LOBAU;2 TER ET 5 TER RUE DE LOBAU;2 TER RUE DE LOBAU;E1;4;INDIGO;WWW.PARKINDIGO.FR;01 42 77 88 53;190;;VISITEURS ET ABONNES;24h / 24;OUI, MAIS TRAVAUX D'ACCESSIBILITE AUX HANDICAPES A REALISER;OUI;OUI;OUI;OUI;42583;266;2660;OUI;1597,5;2130;NON;ND;42552;1,15;2,3;4,6;6,9;9,2;13,8;18,4;32,2;36,8;39,6;39,6;39,6;39,6;39,6;17;133;373;1330;2018-02-01;133;373;1330;132;1,6;93;261;931;14;;;1E 2E 3E 4E 5G 5J 6E 11G 34F;0,4;0,8;13,6;OUI;558,6;744,8;NON;ND;3413;NON;"{""type"": ""Point"", ""coordinates"": [2.353197422201695, 48.855470409134355]}";48.8554704091, 2.3531974222
21;157;FREMICOURT;15 RUE FRÉMICOURT;15 RUE FREMICOURT;E1;15;INDIGO;WWW.PARKINDIGO.FR;01 45 48 43 30;210;;ABONNES;POUR ABONNES;OUI;OUI;NON;OUI;NON;42614;203;2111;OUI;1266,6;1688,8;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;5;101,5;289,3;1055,5;2018-02-01;101,5;289,3;1055,5;31;ND;71;202,4;738,4;11;648429.666;6861044.583;15E 15F 15G 15K 15L 15M 15P;ND;ND;ND;NON;ND;ND;NON;ND;2746;NON;"{""type"": ""Point"", ""coordinates"": [2.297270532268938, 48.84738027335018]}";48.8473802734, 2.29727053227
22;118;GENERAL BEURET;31 RUE DU GÉNÉRAL BEURET;31 RUE DU GENERAL BEURET;E1;15;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;185;;ABONNES;POUR ABONNES;NON;OUI;NON;NON;NON;42917;ND;ND;NON;ND;ND;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0;ND;ND;ND;2018-02-01;ND;ND;ND;0;ND;ND;ND;ND;ND;648791.7875;6860241.688;ND;ND;ND;ND;NON;ND;ND;NON;ND;1678;NON;"{""type"": ""Point"", ""coordinates"": [2.302301435486304, 48.840188747594375]}";48.8401887476, 2.30230143549
91;44;SAINT MARTIN;43 TER RUE SAINT MARTIN;43 TER RUE SAINT MARTIN;E1;3;INDIGO;WWW.PARKINDIGO.FR;01 42 74 16 00;190;;VISITEURS ET ABONNES;24h / 24;OUI, MAIS TRAVAUX D'ACCESSIBILITE AUX HANDICAPES A REALISER;OUI;NON;NON;NON;42583;309;3091;NON;ND;ND;NON;ND;42614;1,1;2,2;4,4;6,6;8,8;13,2;17,6;30,8;35,2;39,6;39,6;39,6;39,6;39,6;4;ND;ND;ND;2018-02-01;ND;ND;ND;34;ND;128;363;1326;ND;;;ND;ND;ND;ND;NON;ND;ND;NON;ND;ND;NON;"{""type"": ""Point"", ""coordinates"": [2.357016882301218, 48.86858904642135]}";48.8685890464, 2.3570168823
